step,content_loss,style_loss,total_loss
58,102.08956146240234,1088.90380859375,1190.993408203125
59,103.44255065917969,1045.8668212890625,1149.309326171875
60,102.9905014038086,1030.141357421875,1133.1318359375
61,104.33547973632812,999.5171508789062,1103.8526611328125
62,104.2231674194336,985.5381469726562,1089.7613525390625
63,104.27820587158203,958.842041015625,1063.1202392578125
64,104.69024658203125,918.2446899414062,1022.9349365234375
65,104.92054748535156,866.8643188476562,971.7848510742188
66,105.44654083251953,832.4970703125,937.943603515625
67,104.63605499267578,820.2197265625,924.8557739257812
68,105.61454010009766,811.718017578125,917.3325805664062
69,105.84888458251953,795.677490234375,901.5263671875
70,105.72589874267578,777.4659423828125,883.1918334960938
71,105.96664428710938,754.559814453125,860.5264892578125
72,105.38700103759766,724.09619140625,829.4832153320312
73,106.62646484375,707.9033203125,814.52978515625
74,105.874267578125,696.6678466796875,802.5421142578125
75,105.84380340576172,689.5618286132812,795.4056396484375
76,105.9080810546875,679.3197021484375,785.227783203125
77,106.65921783447266,661.6008911132812,768.2601318359375
78,106.95046997070312,643.8541870117188,750.8046875
79,106.263671875,627.2144165039062,733.4780883789062
80,106.79261779785156,607.04638671875,713.8389892578125
81,106.35592651367188,600.2350463867188,706.5909423828125
82,106.60440063476562,591.197021484375,697.8013916015625
83,106.92776489257812,577.3679809570312,684.2957763671875
84,107.67646026611328,562.4581909179688,670.1346435546875
85,107.04438781738281,555.2852172851562,662.32958984375
86,107.15388488769531,548.010009765625,655.1638793945312
87,107.19294738769531,532.3239135742188,639.516845703125
88,107.90935516357422,520.8092041015625,628.7185668945312
89,107.3917236328125,512.7831420898438,620.1748657226562
90,107.37319946289062,507.4457092285156,614.8189086914062
91,107.40711975097656,498.96380615234375,606.3709106445312
92,107.87655639648438,483.55084228515625,591.4273681640625
93,106.5926742553711,483.1171875,589.7098388671875
94,107.34934997558594,472.769775390625,580.119140625
95,107.60089874267578,467.6618347167969,575.2627563476562
96,107.43789672851562,463.1598815917969,570.5977783203125
97,107.16773223876953,456.0081787109375,563.1759033203125
98,107.6487808227539,447.0525817871094,554.7013549804688
99,107.53296661376953,440.46929931640625,548.0022583007812
100,107.53302001953125,429.9667053222656,537.499755859375
101,107.70231628417969,418.34625244140625,526.048583984375
102,106.89946746826172,419.8155517578125,526.7150268554688
103,107.5359878540039,410.0592041015625,517.59521484375
104,107.7398681640625,406.0719909667969,513.8118896484375
105,107.50205993652344,401.7741394042969,509.27618408203125
106,107.23329162597656,396.3535461425781,503.58685302734375
107,107.21599578857422,387.45355224609375,494.6695556640625
108,107.25558471679688,380.62579345703125,487.8813781738281
109,107.11931610107422,373.6070251464844,480.7263488769531
110,107.05172729492188,369.9527282714844,477.00445556640625
111,107.4466552734375,364.97222900390625,472.41888427734375
112,106.58560180664062,365.1940002441406,471.77960205078125
113,106.9764404296875,359.57080078125,466.5472412109375
114,107.04590606689453,356.5903015136719,463.6361999511719
115,106.76435852050781,352.5941467285156,459.3585205078125
116,106.93177795410156,346.7984313964844,453.730224609375
117,106.6038589477539,342.0522155761719,448.65606689453125
118,106.53241729736328,335.53851318359375,442.0709228515625
119,106.73538970947266,332.2930908203125,439.0284729003906
120,106.81671142578125,326.0030212402344,432.8197326660156
121,106.40375518798828,324.1162414550781,430.5199890136719
122,106.6174545288086,322.00634765625,428.6238098144531
123,106.70025634765625,319.62762451171875,426.327880859375
124,106.60115051269531,316.0763244628906,422.677490234375
